Country,ISO3,Acronym,Bloc Full Name,Block_Code,Type,Start,End,,,,,,,,,,
Algeria,DZA,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Angola,AGO,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Benin,BEN,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Botswana,BWA,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Burkina Faso,BFA,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Burundi,BDI,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Cabo Verde,CPV,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Cameroon,CMR,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Central African Rep.,CAF,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Chad,TCD,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Comoros,COM,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Congo DR,COD,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Congo Republic,COG,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Djibouti,DJI,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Egypt,EGY,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Equatorial Guinea,GNQ,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Eswatini,SWZ,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Ethiopia,ETH,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Gabon,GAB,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Gambia,GMB,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Ghana,GHA,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Guinea,GIN,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Guinea-Bissau,GNB,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Ivory Coast,CIV,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Kenya,KEN,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Lesotho,LSO,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Liberia,LBR,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Libya,LBY,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Madagascar,MDG,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Malawi,MWI,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Mali,MLI,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Mauritania,MRT,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Mauritius,MUS,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Morocco,MAR,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Mozambique,MOZ,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Namibia,NAM,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
Niger,NER,AfCFTA,African Continental Free Trade Area,XAF,institutional,2019,max,,,,,,,,,,
